Employee Group,Required Class
1-9 Verifiers,WD101
1-9 Verifiers,WD101
1-9 Verifiers,HR102
1-9 Verifiers,FIN107
1-9 Verifiers,FIN101
1-9 Verifiers,FIN104
AA to Deans,WD101
AA to Deans,WD101
AA to Deans,HR101
AA to Deans,FIN101
AA to Deans,FIN104
Admin Assistants,WD101
Admin Assistants,WD101
Admin Assistants,FIN101
Admin Assistants,FIN104
Admin Assistants,BUD102
Administration,WD101
Administration,WD101
Administration,FIN101
Administration,FIN104
Athletics,WD101
Athletics,WD101
Athletics,FIN101
Athletics,FIN104
Athletics,FIN107
AVP,WD101
AVP,WD101
AVP,FIN101
AVP,FIN104
AVP,BUD102
AVP,BUD101
AVP,FIN101
Budget Managers,WD101
Budget Managers,WD101
Budget Managers,FIN101
Budget Managers,FIN102
Budget Managers,FIN104
Budget Managers,FIN105
Budget Managers,BUD102
Budget Managers,BUD101
Budget Managers,BUD101
Budget Managers,FIN101
Budget Managers,BUD102
Budget Managers,FIN108
Conference Services,WD101
Conference Services,WD101
Conference Services,FIN101
Conference Services,FIN104
Conference Services,FIN107
Contract Specialists,WD101
Contract Specialists,WD101
Contract Specialists,FIN101
Contract Specialists,FIN104
Contract Specialists,FIN101
Cost Center Managers,WD101
Cost Center Managers,WD101
Cost Center Managers,FIN101
Cost Center Managers,FIN104
Cost Center Managers,BUD102
Cost Center Managers,FIN108
Deans,WD101
Deans,WD101
Deans,HR101
Deans,HR104
Deans,FIN101
Deans,FIN104
Deans2,WD101
Deans2,WD101
Deans2,FIN101
Deans2,FIN104
Deans2,BUD101
Deans2,BUD101
Deans2,FIN101
Department Chairs,WD101
Department Chairs,WD101
Department Chairs,FIN101
Department Chairs,FIN104
Department Chairs,BUD101
Department Chairs,BUD101
Department Chairs,FIN101
Employee Managers,WD101
Employee Managers,WD103
Employee Managers,WD101
Employee Managers,HR101
Employee Managers,HR104
Employee Managers,HR103
Employee Managers,HR103
Employee Managers,FIN101
Employee Managers,FIN104
Exempt Staff,WD101
Exempt Staff,WD101
Exempt Staff,FIN101
Exempt Staff,FIN104
Facilities Admin,WD101
Facilities Admin,WD101
Facilities Admin,FIN101
Facilities Admin,FIN104
Facilities Admin,FIN106
Faculty,WD101
Faculty,WD101
Faculty,FIN101
Faculty,FIN103
Faculty,FIN104
Finance,WD101
Finance,WD101
Finance,FIN101
Finance,FIN104
Finance,FIN106
Finance,FIN108
Grant Managers,WD101
Grant Managers,WD101
Grant Managers,FIN101
Grant Managers,FIN104
Grant Managers,Grants101
Grant Managers,FIN101
Hiring Committees,WD101
Hiring Committees,WD101
Hiring Committees,HR101
Hiring Committees,HR104
Hiring Committees,FIN101
Hiring Committees,FIN104
IT,WD101
IT,WD101
IT,FIN101
IT,FIN104
IT,FIN106
Non-exempt Staff,WD101
Non-exempt Staff,WD102
Non-exempt Staff,WD101
Non-exempt Staff,FIN101
Non-exempt Staff,FIN104
Principal Investigators,WD101
Principal Investigators,WD101
Principal Investigators,FIN101
Principal Investigators,FIN104
Principal Investigators,Grants101
Principal Investigators,FIN101
Recruiters,WD101
Recruiters,WD101
Recruiters,HR101
Recruiters,FIN101
Recruiters,FIN104
Recruiting Coordinator,WD101
Recruiting Coordinator,WD101
Recruiting Coordinator,HR101
Recruiting Coordinator,FIN101
Recruiting Coordinator,FIN104
Staff,WD101
Staff,WD101
Staff,FIN101
Staff,FIN103
Staff,FIN104
Students,WD102
Students,WD102
Students,WD101
Students,WD104
Supervisors,WD101
Supervisors,WD101
Supervisors,FIN101
Supervisors,FIN104
Supervisors,FIN101
VP,WD101
VP,WD101
VP,FIN101
VP,FIN104
VP,BUD102
VP,FIN101
